Instance,m,n,LB_CG,ValidRuns,AvgRuntime_sec,Final_AvgOFV_18mn,Time_2mn_ms,AvgOFV_2mn,MinOFV_2mn,AvgIter_2mn,g_CG_2mn_percent,Time_4mn_ms,AvgOFV_4mn,MinOFV_4mn,AvgIter_4mn,g_CG_4mn_percent,Time_6mn_ms,AvgOFV_6mn,MinOFV_6mn,AvgIter_6mn,g_CG_6mn_percent,Time_8mn_ms,AvgOFV_8mn,MinOFV_8mn,AvgIter_8mn,g_CG_8mn_percent,Time_10mn_ms,AvgOFV_10mn,MinOFV_10mn,AvgIter_10mn,g_CG_10mn_percent,Time_12mn_ms,AvgOFV_12mn,MinOFV_12mn,AvgIter_12mn,g_CG_12mn_percent,Time_14mn_ms,AvgOFV_14mn,MinOFV_14mn,AvgIter_14mn,g_CG_14mn_percent,Time_16mn_ms,AvgOFV_16mn,MinOFV_16mn,AvgIter_16mn,g_CG_16mn_percent,Time_18mn_ms,AvgOFV_18mn,MinOFV_18mn,AvgIter_18mn,g_CG_18mn_percent
Inst_m20_n320_pi1.0_TF0.6_R0.6_1.txt,20,320,1806.120000,10,115.306426,1911.885000,12800.000000,1935.745000,1911.910000,90.500000,6.696388,25600.000000,1913.857000,1911.260000,185.000000,5.629313,38400.000000,1913.144000,1911.260000,281.100000,5.594142,51200.000000,1912.838000,1911.260000,378.300000,5.579040,64000.000000,1912.838000,1911.260000,472.900000,5.579040,76800.000000,1912.838000,1911.260000,570.400000,5.579040,89600.000000,1912.838000,1911.260000,667.400000,5.579040,102400.000000,1912.838000,1911.260000,765.400000,5.579040,115200.000000,1911.885000,1911.260000,859.800000,5.531975
Inst_m20_n320_pi1.0_TF0.6_R0.6_10.txt,20,320,1483.010000,10,115.288963,1600.393000,12800.000000,1624.770000,1598.330000,78.900000,8.724927,25600.000000,1612.706000,1597.010000,156.900000,8.042135,38400.000000,1604.022000,1597.010000,235.700000,7.544286,51200.000000,1602.111000,1597.010000,314.800000,7.434004,64000.000000,1601.109000,1597.010000,393.900000,7.376075,76800.000000,1601.109000,1597.010000,472.700000,7.376075,89600.000000,1600.994000,1597.010000,552.500000,7.369422,102400.000000,1600.495000,1596.110000,632.900000,7.340542,115200.000000,1600.393000,1596.110000,711.600000,7.334636
Inst_m20_n320_pi1.0_TF0.6_R0.6_2.txt,20,320,1760.100000,10,115.268792,1909.762000,12800.000000,1944.222000,1907.640000,74.900000,9.470215,25600.000000,1919.165000,1907.640000,147.600000,8.288240,38400.000000,1915.551000,1907.640000,221.300000,8.115211,51200.000000,1914.341000,1903.590000,293.100000,8.057133,64000.000000,1913.044000,1903.590000,365.000000,7.994798,76800.000000,1912.681000,1903.590000,437.900000,7.977337,89600.000000,1911.912000,1900.940000,510.500000,7.940324,102400.000000,1911.314000,1900.940000,583.800000,7.911521,115200.000000,1909.762000,1900.940000,655.500000,7.836683
Inst_m20_n320_pi1.0_TF0.6_R0.6_3.txt,20,320,1690.240000,10,115.264376,1784.365000,12800.000000,1809.325000,1785.770000,79.200000,6.581736,25600.000000,1794.497000,1783.890000,154.200000,5.809817,38400.000000,1791.509000,1783.890000,229.900000,5.652721,51200.000000,1788.424000,1783.890000,305.800000,5.489973,64000.000000,1786.636000,1783.890000,380.700000,5.395391,76800.000000,1785.417000,1779.520000,455.800000,5.330799,89600.000000,1784.981000,1779.520000,533.300000,5.307676,102400.000000,1784.373000,1779.520000,608.600000,5.275410,115200.000000,1784.365000,1779.520000,684.700000,5.274986
Inst_m20_n320_pi1.0_TF0.6_R0.6_4.txt,20,320,1672.060000,10,115.264976,1808.207000,12800.000000,1839.763000,1815.350000,80.800000,9.115468,25600.000000,1818.942000,1807.230000,157.500000,8.075134,38400.000000,1812.411000,1805.670000,231.900000,7.743884,51200.000000,1811.626000,1805.670000,307.800000,7.703908,64000.000000,1810.226000,1805.670000,383.100000,7.632528,76800.000000,1809.410000,1805.670000,459.600000,7.590872,89600.000000,1809.097000,1805.670000,536.800000,7.574884,102400.000000,1808.714000,1805.670000,611.200000,7.555313,115200.000000,1808.207000,1805.670000,687.900000,7.529392
Inst_m20_n320_pi1.0_TF0.6_R0.6_5.txt,20,320,2452.900000,10,115.262067,2654.605000,12800.000000,2687.802000,2664.940000,78.200000,8.739557,25600.000000,2662.596000,2655.340000,156.600000,7.875622,38400.000000,2659.339000,2653.070000,235.500000,7.762794,51200.000000,2657.929000,2653.070000,311.200000,7.713863,64000.000000,2657.587000,2653.070000,387.200000,7.701987,76800.000000,2656.473000,2650.680000,464.500000,7.663281,89600.000000,2655.438000,2650.680000,539.900000,7.627292,102400.000000,2655.077000,2650.680000,618.800000,7.614732,115200.000000,2654.605000,2650.680000,696.200000,7.598306
Inst_m20_n320_pi1.0_TF0.6_R0.6_6.txt,20,320,1739.770000,10,115.284449,1867.137000,12800.000000,1876.703000,1863.970000,80.000000,7.296466,25600.000000,1871.557000,1863.970000,158.900000,7.041570,38400.000000,1869.613000,1863.970000,239.100000,6.944913,51200.000000,1868.998000,1863.970000,317.600000,6.914293,64000.000000,1868.532000,1863.970000,396.300000,6.891078,76800.000000,1868.425000,1863.690000,472.500000,6.885746,89600.000000,1868.425000,1863.690000,552.700000,6.885746,102400.000000,1868.105000,1863.690000,630.800000,6.869796,115200.000000,1867.137000,1863.690000,706.700000,6.821513
Inst_m20_n320_pi1.0_TF0.6_R0.6_7.txt,20,320,1730.000000,10,115.285453,1864.395000,12800.000000,1920.975000,1870.010000,72.100000,9.941566,25600.000000,1888.116000,1870.010000,145.100000,8.374274,38400.000000,1873.048000,1857.400000,218.800000,7.637177,51200.000000,1868.066000,1857.400000,290.500000,7.390852,64000.000000,1867.468000,1857.400000,362.500000,7.361197,76800.000000,1866.343000,1857.400000,437.200000,7.305356,89600.000000,1866.343000,1857.400000,510.800000,7.305356,102400.000000,1865.682000,1857.400000,584.300000,7.272515,115200.000000,1864.395000,1857.400000,657.600000,7.208505
Inst_m20_n320_pi1.0_TF0.6_R0.6_8.txt,20,320,1715.000000,10,115.250428,1803.134000,12800.000000,1815.662000,1804.200000,84.200000,5.544094,25600.000000,1807.993000,1804.160000,167.900000,5.143438,38400.000000,1806.351000,1803.050000,251.500000,5.057212,51200.000000,1805.705000,1803.050000,336.600000,5.023246,64000.000000,1805.047000,1802.920000,420.200000,4.988624,76800.000000,1803.721000,1802.470000,506.400000,4.918776,89600.000000,1803.541000,1802.100000,591.800000,4.909287,102400.000000,1803.249000,1802.100000,673.700000,4.893889,115200.000000,1803.134000,1802.100000,757.500000,4.887823
Inst_m20_n320_pi1.0_TF0.6_R0.6_9.txt,20,320,1381.850000,10,115.287658,1467.859000,12800.000000,1480.141000,1471.020000,79.700000,6.640651,25600.000000,1470.869000,1467.180000,155.000000,6.052137,38400.000000,1469.781000,1467.180000,230.400000,5.982592,51200.000000,1469.351000,1466.770000,304.900000,5.955078,64000.000000,1468.886000,1466.770000,379.400000,5.925307,76800.000000,1468.645000,1466.770000,455.400000,5.909869,89600.000000,1468.333000,1466.770000,530.000000,5.889876,102400.000000,1467.922000,1466.770000,603.100000,5.863527,115200.000000,1467.859000,1466.770000,678.600000,5.859487
Inst_m20_n320_pi2.0_TF0.4_R0.4_1.txt,20,320,3659.120000,10,115.280291,3974.524000,12800.000000,3996.020000,3978.930000,64.300000,8.430889,25600.000000,3984.119000,3964.970000,132.200000,8.157362,38400.000000,3980.928000,3964.970000,201.200000,8.083743,51200.000000,3978.207000,3964.970000,268.700000,8.020875,64000.000000,3975.918000,3964.970000,336.800000,7.967921,76800.000000,3975.034000,3964.970000,406.600000,7.947454,89600.000000,3974.524000,3964.970000,475.600000,7.935642,102400.000000,3974.524000,3964.970000,542.900000,7.935642,115200.000000,3974.524000,3964.970000,611.700000,7.935642
Inst_m20_n320_pi2.0_TF0.4_R0.4_10.txt,20,320,3217.530000,10,115.264035,3426.075000,12800.000000,3431.103000,3415.820000,84.000000,6.224616,25600.000000,3426.988000,3415.820000,174.200000,6.112014,38400.000000,3426.988000,3415.820000,266.100000,6.112014,51200.000000,3426.075000,3415.820000,357.500000,6.086995,64000.000000,3426.075000,3415.820000,449.100000,6.086995,76800.000000,3426.075000,3415.820000,539.300000,6.086995,89600.000000,3426.075000,3415.820000,628.800000,6.086995,102400.000000,3426.075000,3415.820000,719.700000,6.086995,115200.000000,3426.075000,3415.820000,805.900000,6.086995
Inst_m20_n320_pi2.0_TF0.4_R0.4_2.txt,20,320,2878.060000,10,115.268349,3094.643000,12800.000000,3099.473000,3093.380000,86.300000,7.143569,25600.000000,3097.770000,3093.380000,171.100000,7.092521,38400.000000,3096.635000,3093.380000,256.100000,7.058468,51200.000000,3095.196000,3093.380000,341.300000,7.015258,64000.000000,3095.172000,3093.380000,431.000000,7.014537,76800.000000,3095.172000,3093.380000,513.400000,7.014537,89600.000000,3094.667000,3090.130000,596.800000,6.999364,102400.000000,3094.643000,3090.130000,681.100000,6.998642,115200.000000,3094.643000,3090.130000,766.200000,6.998642
Inst_m20_n320_pi2.0_TF0.4_R0.4_3.txt,20,320,3008.420000,10,115.253698,3314.021000,12800.000000,3361.995000,3318.720000,69.400000,10.516821,25600.000000,3323.772000,3309.790000,137.000000,9.487775,38400.000000,3319.871000,3309.790000,201.000000,9.381419,51200.000000,3318.061000,3309.790000,265.400000,9.331986,64000.000000,3316.074000,3301.300000,330.200000,9.277658,76800.000000,3314.096000,3301.300000,393.000000,9.223511,89600.000000,3314.096000,3301.300000,456.500000,9.223511,102400.000000,3314.021000,3301.300000,520.300000,9.221456,115200.000000,3314.021000,3301.300000,582.200000,9.221456
