Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_DG-ALNS,AvgResult_DG-ALNS,StdResult_DG-ALNS,AvgTime_DG-ALNS,SuccessRuns_DG-ALNS,FailedRuns_DG-ALNS,FirstError_DG-ALNS
Inst_m2_n10_pi0.2_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,133.6200,133.6200,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,29.4400,29.4400,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,753.9100,753.9100,0.0000,0.2402,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,625.0500,625.0500,0.0000,0.2407,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,418.6000,418.6000,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,571.7900,571.7900,0.0000,0.2409,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,358.0100,358.0100,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,277.3600,277.3600,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,334.5300,334.5300,0.0000,0.2402,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,296.6400,296.6400,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,198.5100,198.5100,0.0000,0.2406,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,465.4300,465.4300,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,103.9400,103.9400,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,155.1700,155.1700,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,155.3700,155.3700,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,692.4500,692.4500,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,141.6400,141.6400,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,198.1000,198.1000,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,159.7500,159.7500,0.0000,0.2406,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,143.7500,143.7500,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,280.4600,280.4600,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,276.8800,276.8800,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,511.5800,511.5800,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,283.2800,283.2800,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,526.2300,526.2300,0.0000,0.2402,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,580.9500,580.9500,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,338.9400,338.9400,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,506.3500,506.3500,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,228.2700,228.2700,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,325.5300,325.5300,0.0000,0.2403,10,0,
