Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m2_n10_pi0.2_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,133.6200,133.6200,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,29.4400,33.7540,9.6076,0.2419,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,753.9100,778.3370,18.4007,0.2418,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,625.0500,625.0500,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,418.6000,424.5020,18.6638,0.2423,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,571.7900,571.7900,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,358.0100,368.8570,15.8383,0.2417,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,277.3600,277.3600,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,334.5300,334.5300,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,296.6400,296.6400,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,198.5100,198.5100,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,465.4300,468.0570,8.3073,0.2427,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,103.9400,103.9400,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,155.1700,170.3140,47.1318,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,155.3700,155.3700,0.0000,0.2422,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,692.4500,692.4500,0.0000,0.2416,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,141.6400,143.2560,5.1102,0.2415,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,198.1000,198.1000,0.0000,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,159.7500,159.7500,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,143.7500,143.7500,0.0000,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,280.4600,281.7800,4.1742,0.2425,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,276.8800,276.8800,0.0000,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,511.5800,526.9920,29.5225,0.2416,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,283.2800,283.2800,0.0000,0.2417,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,526.2300,582.6600,48.5672,0.2415,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,580.9500,580.9500,0.0000,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,338.9400,347.2120,26.1584,0.2417,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,506.3500,526.9140,43.3527,0.2415,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,228.2700,232.0100,4.8283,0.2425,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,325.5300,325.5300,0.0000,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,190.9100,193.0400,6.7357,0.2420,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,737.7300,750.6170,21.1545,0.2420,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,829.2600,829.2600,0.0000,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1590.9000,1590.9000,0.0000,0.2423,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,759.4900,784.3460,9.2445,0.2423,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1215.7700,1215.7700,0.0000,0.2414,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,341.6400,347.8320,10.2474,0.2422,10,0,
