Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,D2,$-D_2$,345.666,62.3054,341.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,D2,$-D_2$,240.737,62.2543,240.35,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,D2,$-D_2$,379.469,62.2717,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,D2,$-D_2$,445.905,62.22,445.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,D2,$-D_2$,299.873,62.2457,298.35,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,D2,$-D_2$,332.194,62.2602,330.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,D2,$-D_2$,354.898,62.2891,354.12,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,D2,$-D_2$,557.38,62.2561,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,D2,$-D_2$,360.047,62.268,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,D2,$-D_2$,355.372,62.2366,353.62,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,D2,$-D_2$,251.174,62.2701,250.71,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,D2,$-D_2$,261.395,62.2549,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,D2,$-D_2$,279.308,62.2308,278.05,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,D2,$-D_2$,272.422,62.2809,271.87,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,D2,$-D_2$,399.831,62.2361,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,D2,$-D_2$,266.516,62.2179,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,D2,$-D_2$,433.745,62.2491,433.22,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,D2,$-D_2$,301.557,62.2598,301.08,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,D2,$-D_2$,350.71,62.2696,348.25,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,D2,$-D_2$,344.543,62.256,343.59,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,D2,$-D_2$,347.866,62.2639,347.59,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,D2,$-D_2$,336.814,62.2,336.4,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,D2,$-D_2$,357.229,62.2311,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,D2,$-D_2$,397.725,62.2373,397.32,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,D2,$-D_2$,433.254,62.2448,431.03,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,D2,$-D_2$,334.994,62.2267,334.42,10
