Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,I2,$-I_2$,345.037,62.0097,342.44,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,I2,$-I_2$,240.794,62.2172,240.45,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,I2,$-I_2$,379.463,62.2255,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,I2,$-I_2$,445.882,62.2607,445.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,I2,$-I_2$,300.42,62.2713,298.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,I2,$-I_2$,332.337,62.2545,330.61,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,I2,$-I_2$,355.468,62.2538,354.76,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,I2,$-I_2$,557.38,62.2309,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,I2,$-I_2$,359.686,62.2788,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,I2,$-I_2$,354.949,62.2616,353.82,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,I2,$-I_2$,251.205,62.2558,250.62,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,I2,$-I_2$,261.675,62.2092,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,I2,$-I_2$,280.339,62.2286,279.25,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,I2,$-I_2$,272.89,62.2313,272.1,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,I2,$-I_2$,399.879,62.2104,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,I2,$-I_2$,266.503,62.2377,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,I2,$-I_2$,433.758,62.22,432.89,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,I2,$-I_2$,301.18,62.2096,300.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,I2,$-I_2$,352.164,62.2167,348.3,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,I2,$-I_2$,344.316,62.25,343.11,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,I2,$-I_2$,347.772,61.9694,347.5,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,I2,$-I_2$,336.887,62.1862,336.21,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,I2,$-I_2$,357.287,62.248,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,I2,$-I_2$,398.068,62.2188,397.43,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,I2,$-I_2$,433.248,62.2081,430.03,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,I2,$-I_2$,335.084,62.2051,334.7,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,I2,$-I_2$,357.59,62.1657,356.32,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,I2,$-I_2$,271.355,62.191,270.72,10
