Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,D1,$-D_1$,349.186,62.2698,346.27,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,D1,$-D_1$,240.349,62.2269,240.04,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,D1,$-D_1$,379.241,62.28,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,D1,$-D_1$,446.581,62.2389,445.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,D1,$-D_1$,300.945,62.2412,299.81,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,D1,$-D_1$,331.162,62.196,330.72,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,D1,$-D_1$,354.555,62.2059,354.21,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,D1,$-D_1$,557.38,62.2408,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,D1,$-D_1$,359.53,62.2788,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,D1,$-D_1$,358.265,62.2308,356.97,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,D1,$-D_1$,251.281,62.2295,250.71,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,D1,$-D_1$,263.404,62.2428,262.34,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,D1,$-D_1$,279.676,62.2135,278.59,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,D1,$-D_1$,273.028,62.3071,272.06,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,D1,$-D_1$,400.072,62.2525,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,D1,$-D_1$,271.95,62.2107,269.64,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,D1,$-D_1$,434.241,62.2224,432.41,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,D1,$-D_1$,300.66,62.2544,300.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,D1,$-D_1$,348.161,62.2112,347.09,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,D1,$-D_1$,344.593,62.2155,343.56,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,D1,$-D_1$,350.619,62.2725,347.69,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,D1,$-D_1$,337.662,62.2355,336.91,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,D1,$-D_1$,357.13,62.2425,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,D1,$-D_1$,398.129,62.2338,397.29,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,D1,$-D_1$,433.005,62.2322,431.62,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,D1,$-D_1$,335.703,62.2195,334.75,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,D1,$-D_1$,357.463,62.2208,356.33,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,D1,$-D_1$,271.042,62.2057,270.93,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_8.txt,20,320,D1,$-D_1$,374.972,62.2195,373.95,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_9.txt,20,320,D1,$-D_1$,453.131,62.2078,452.41,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_1.txt,20,320,D1,$-D_1$,300.271,62.2006,297.72,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_10.txt,20,320,D1,$-D_1$,404.218,62.1706,404.06,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_2.txt,20,320,D1,$-D_1$,406.093,62.206,404.42,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_3.txt,20,320,D1,$-D_1$,368.634,62.2107,368.48,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_4.txt,20,320,D1,$-D_1$,238.988,62.1818,238.62,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_5.txt,20,320,D1,$-D_1$,293.95,62.1758,291.9,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_6.txt,20,320,D1,$-D_1$,345.274,62.1755,343.89,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_7.txt,20,320,D1,$-D_1$,347.648,62.2029,347.35,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_8.txt,20,320,D1,$-D_1$,262.233,62.2045,261.7,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_9.txt,20,320,D1,$-D_1$,433.976,62.141,430.8,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_1.txt,20,320,D1,$-D_1$,746.146,62.2986,744.31,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_10.txt,20,320,D1,$-D_1$,926.764,62.275,924.11,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_2.txt,20,320,D1,$-D_1$,949.598,62.2813,946.41,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_3.txt,20,320,D1,$-D_1$,851.842,62.2842,846.58,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_4.txt,20,320,D1,$-D_1$,659.198,62.2508,656.53,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_5.txt,20,320,D1,$-D_1$,1132.9,62.2525,1132.9,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_6.txt,20,320,D1,$-D_1$,794.375,62.2647,793.03,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_7.txt,20,320,D1,$-D_1$,914.928,62.242,913.02,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_8.txt,20,320,D1,$-D_1$,1187.721,62.2233,1185.21,10
Inst_m20_n320_pi0.5_TF0.4_R0.4_9.txt,20,320,D1,$-D_1$,811.75,62.2334,809.13,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_1.txt,20,320,D1,$-D_1$,705.559,62.2295,700.68,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_10.txt,20,320,D1,$-D_1$,770.091,62.2395,770.09,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_2.txt,20,320,D1,$-D_1$,608.899,62.2529,607.83,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_3.txt,20,320,D1,$-D_1$,776.654,62.2216,776.47,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_4.txt,20,320,D1,$-D_1$,775.748,62.2135,772.33,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_5.txt,20,320,D1,$-D_1$,818.963,62.3015,817.93,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_6.txt,20,320,D1,$-D_1$,666.176,62.2005,664.99,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_7.txt,20,320,D1,$-D_1$,832.996,62.1696,832.3,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_8.txt,20,320,D1,$-D_1$,786.086,62.1788,783.66,10
Inst_m20_n320_pi0.5_TF0.4_R0.6_9.txt,20,320,D1,$-D_1$,729.365,62.2175,723.47,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_1.txt,20,320,D1,$-D_1$,782.553,62.284,780.39,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_10.txt,20,320,D1,$-D_1$,995.96,62.2184,990.13,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_2.txt,20,320,D1,$-D_1$,665.51,62.2524,661.68,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_3.txt,20,320,D1,$-D_1$,809.136,62.2229,803.48,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_4.txt,20,320,D1,$-D_1$,843.667,62.2275,839.65,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_5.txt,20,320,D1,$-D_1$,913.622,62.2065,908.67,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_6.txt,20,320,D1,$-D_1$,912.168,62.217,904.23,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_7.txt,20,320,D1,$-D_1$,805.888,62.2065,803.08,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_8.txt,20,320,D1,$-D_1$,933.119,62.1963,928.67,10
Inst_m20_n320_pi0.5_TF0.6_R0.4_9.txt,20,320,D1,$-D_1$,811.39,62.2139,811.39,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_1.txt,20,320,D1,$-D_1$,866.681,62.2685,863.98,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_10.txt,20,320,D1,$-D_1$,883.316,62.1471,879.84,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_2.txt,20,320,D1,$-D_1$,966.37,62.2149,964.26,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_3.txt,20,320,D1,$-D_1$,929.879,62.2083,927,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_4.txt,20,320,D1,$-D_1$,735.969,62.1973,733.13,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_5.txt,20,320,D1,$-D_1$,1055.311,62.2432,1052.5,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_6.txt,20,320,D1,$-D_1$,811.636,62.1664,808.78,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_7.txt,20,320,D1,$-D_1$,956.665,62.1837,953.36,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_8.txt,20,320,D1,$-D_1$,951.479,62.1754,948.3,10
Inst_m20_n320_pi0.5_TF0.6_R0.6_9.txt,20,320,D1,$-D_1$,813.78,62.167,812.14,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_1.txt,20,320,D1,$-D_1$,2035.389,62.2251,2027.04,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_10.txt,20,320,D1,$-D_1$,1869.793,62.1935,1867.36,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_2.txt,20,320,D1,$-D_1$,1756.612,62.2609,1754.06,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_3.txt,20,320,D1,$-D_1$,1564.808,62.2209,1560.62,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_4.txt,20,320,D1,$-D_1$,1363.315,62.2356,1360.51,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_5.txt,20,320,D1,$-D_1$,2101.28,62.2403,2101.28,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_6.txt,20,320,D1,$-D_1$,1729.5,62.2191,1725.33,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_7.txt,20,320,D1,$-D_1$,2212,62.2206,2212,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_8.txt,20,320,D1,$-D_1$,1394.753,62.2097,1392.08,10
Inst_m20_n320_pi1.0_TF0.4_R0.4_9.txt,20,320,D1,$-D_1$,2690.82,62.1921,2681.65,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_1.txt,20,320,D1,$-D_1$,1915.587,62.2319,1911.47,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_10.txt,20,320,D1,$-D_1$,2106.294,62.1851,2101.58,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_2.txt,20,320,D1,$-D_1$,1481.833,62.2136,1481.69,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_3.txt,20,320,D1,$-D_1$,1657.626,62.1951,1652.82,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_4.txt,20,320,D1,$-D_1$,2214.432,62.1966,2206.82,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_5.txt,20,320,D1,$-D_1$,2106.066,62.2224,2102.7,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_6.txt,20,320,D1,$-D_1$,1688.91,62.1893,1683.03,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_7.txt,20,320,D1,$-D_1$,1417.725,62.1669,1411.39,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_8.txt,20,320,D1,$-D_1$,1486.483,62.1724,1485.06,10
Inst_m20_n320_pi1.0_TF0.4_R0.6_9.txt,20,320,D1,$-D_1$,1575.532,62.1895,1564.43,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_1.txt,20,320,D1,$-D_1$,1857.295,62.0448,1852.74,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_10.txt,20,320,D1,$-D_1$,1437.612,62.197,1409.14,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_2.txt,20,320,D1,$-D_1$,1645.383,62.2356,1633.57,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_3.txt,20,320,D1,$-D_1$,1503.053,62.2666,1500.64,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_4.txt,20,320,D1,$-D_1$,1532.569,62.2444,1529.54,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_5.txt,20,320,D1,$-D_1$,1816.662,62.2262,1810.8,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_6.txt,20,320,D1,$-D_1$,1668.856,62.2266,1655.05,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_7.txt,20,320,D1,$-D_1$,1599.319,62.2385,1589.24,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_8.txt,20,320,D1,$-D_1$,1766.112,62.193,1761.52,10
Inst_m20_n320_pi1.0_TF0.6_R0.4_9.txt,20,320,D1,$-D_1$,2004.977,62.2186,1997.48,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_1.txt,20,320,D1,$-D_1$,1910.86,62.2424,1910.86,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_10.txt,20,320,D1,$-D_1$,1607.856,62.1906,1604.03,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_2.txt,20,320,D1,$-D_1$,1920.541,62.2443,1915.79,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_3.txt,20,320,D1,$-D_1$,1799.912,62.2255,1795.03,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_4.txt,20,320,D1,$-D_1$,1821.373,62.2213,1813.6,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_5.txt,20,320,D1,$-D_1$,2665.858,62.2077,2649.43,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_6.txt,20,320,D1,$-D_1$,1875.325,62.2175,1871.76,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_7.txt,20,320,D1,$-D_1$,1876.078,62.1796,1867.91,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_8.txt,20,320,D1,$-D_1$,1808.215,62.1877,1805.22,10
Inst_m20_n320_pi1.0_TF0.6_R0.6_9.txt,20,320,D1,$-D_1$,1474.408,62.1788,1471.26,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_1.txt,20,320,D1,$-D_1$,3961.616,61.8901,3939.98,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_10.txt,20,320,D1,$-D_1$,3417.725,62.2418,3415.82,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_2.txt,20,320,D1,$-D_1$,3085.424,62.3188,3085.02,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_3.txt,20,320,D1,$-D_1$,3311.735,62.2666,3303.32,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_4.txt,20,320,D1,$-D_1$,3085.836,62.2751,3068.71,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_5.txt,20,320,D1,$-D_1$,2597.539,62.2396,2593.59,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_6.txt,20,320,D1,$-D_1$,2293.512,62.216,2284.04,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_7.txt,20,320,D1,$-D_1$,3427.593,62.2419,3418.43,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_8.txt,20,320,D1,$-D_1$,4271.342,62.2297,4258.2,10
Inst_m20_n320_pi2.0_TF0.4_R0.4_9.txt,20,320,D1,$-D_1$,4255.1,62.2434,4255.1,10
Inst_m20_n320_pi2.0_TF0.4_R0.6_1.txt,20,320,D1,$-D_1$,4126.761,62.2229,4091.44,10
Inst_m20_n320_pi2.0_TF0.4_R0.6_10.txt,20,320,D1,$-D_1$,2995.366,62.216,2984.75,10
