Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,I1,$-I_1$,346.048,62.2522,341.89,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,I1,$-I_1$,240.606,62.2674,239.89,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,I1,$-I_1$,379.409,62.2634,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,I1,$-I_1$,445.335,62.2558,445.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,I1,$-I_1$,300.27,62.244,299.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,I1,$-I_1$,331.875,62.2257,330.56,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,I1,$-I_1$,354.811,62.2232,353.93,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,I1,$-I_1$,557.38,62.2124,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,I1,$-I_1$,359.97,62.2078,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,I1,$-I_1$,355.066,62.193,354.23,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,I1,$-I_1$,251.311,62.2762,250.64,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,I1,$-I_1$,261.448,62.2481,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,I1,$-I_1$,279.191,62.2454,277.72,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,I1,$-I_1$,272.543,62.2645,272.01,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,I1,$-I_1$,400.147,62.251,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,I1,$-I_1$,266.657,62.2119,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,I1,$-I_1$,433.61,62.2257,432.32,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,I1,$-I_1$,301.117,62.253,300.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,I1,$-I_1$,351.374,62.2236,348.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,I1,$-I_1$,344.43,62.222,343.33,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,I1,$-I_1$,347.723,62.2916,347.5,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,I1,$-I_1$,336.922,62.2603,336.35,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,I1,$-I_1$,357.265,62.247,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,I1,$-I_1$,397.525,62.2488,397.08,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,I1,$-I_1$,434.225,62.2229,432.02,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,I1,$-I_1$,335.069,62.2306,334.61,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,I1,$-I_1$,356.865,62.2243,355.6,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,I1,$-I_1$,271.491,62.2162,270.72,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_8.txt,20,320,I1,$-I_1$,370.226,62.2285,369.52,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_9.txt,20,320,I1,$-I_1$,452.803,62.1962,452.18,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_1.txt,20,320,I1,$-I_1$,299.236,62.2086,295.96,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_10.txt,20,320,I1,$-I_1$,405.181,62.2311,404.06,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_2.txt,20,320,I1,$-I_1$,406.369,62.2459,403.31,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_3.txt,20,320,I1,$-I_1$,367.808,62.2338,367.45,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_4.txt,20,320,I1,$-I_1$,234.53,62.2341,233.89,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_5.txt,20,320,I1,$-I_1$,292.616,62.2211,291.63,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_6.txt,20,320,I1,$-I_1$,341.931,62.2182,340.33,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_7.txt,20,320,I1,$-I_1$,347.997,62.2124,347.35,10
