Instance,m,n,pi,TF,R,ID,Model,TimeLimit,CPUTime,RunTime,Status,OFV,BestBound,GapPercent
Inst_m2_n10_pi0.5_TF0.4_R0.4_1.txt,2,10,0.5,0.4,0.4,0,PD,1800,707756.48,4.7,2,358.01,358.01,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_10.txt,2,10,0.5,0.4,0.4,0,PD,1800,707752.59,0.6,2,277.36,277.36,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_2.txt,2,10,0.5,0.4,0.4,0,PD,1800,707756.38,4.31,2,334.53,334.53,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_3.txt,2,10,0.5,0.4,0.4,0,PD,1800,707752.81,0.21,2,296.64,296.64,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_4.txt,2,10,0.5,0.4,0.4,0,PD,1800,707754.33,1.6,2,198.51,198.51,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_5.txt,2,10,0.5,0.4,0.4,0,PD,1800,707754.58,1.83,2,465.43,465.43,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_6.txt,2,10,0.5,0.4,0.4,0,PD,1800,707754.47,0.88,2,103.94,103.94,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_7.txt,2,10,0.5,0.4,0.4,0,PD,1800,707759.23,5.77,2,155.17,155.17,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_8.txt,2,10,0.5,0.4,0.4,0,PD,1800,707753.55,0.05,2,155.37,155.37,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_9.txt,2,10,0.5,0.4,0.4,0,PD,1800,707755.27,1.69,2,692.45,692.45,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_1.txt,2,10,0.5,0.4,0.6,0,PD,1800,707754.84,0.95,2,141.64,141.64,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_10.txt,2,10,0.5,0.4,0.6,0,PD,1800,707754.3,0.11,2,198.1,198.1,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_2.txt,2,10,0.5,0.4,0.6,0,PD,1800,707755.45,0.9,2,159.75,159.75,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_3.txt,2,10,0.5,0.4,0.6,0,PD,1800,707755.02,0.47,2,143.75,143.75,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_4.txt,2,10,0.5,0.4,0.6,0,PD,1800,707756.16,1.59,2,280.46,280.46,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_5.txt,2,10,0.5,0.4,0.6,0,PD,1800,707755.69,1.1,2,276.88,276.88,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_6.txt,2,10,0.5,0.4,0.6,0,PD,1800,707755.81,0.93,2,511.58,511.58,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_7.txt,2,10,0.5,0.4,0.6,0,PD,1800,707758.95,3.9,2,283.28,283.28,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_8.txt,2,10,0.5,0.4,0.6,0,PD,1800,707763.55,8.44,2,526.23,526.23,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_9.txt,2,10,0.5,0.4,0.6,0,PD,1800,707757.41,2.13,2,580.95,580.95,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_1.txt,2,10,0.5,0.6,0.4,0,PD,1800,707758.75,3.52,2,338.94,338.94,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_10.txt,2,10,0.5,0.6,0.4,0,PD,1800,707757.94,2.66,2,506.35,506.35,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_2.txt,2,10,0.5,0.6,0.4,0,PD,1800,707756.81,1.29,2,228.27,228.27,0
